更新时间,#genre#
2024-12-15 06:23:42,url
🏠广东频道,#genre#
汕头综合,http://120.77.205.62:8087/rtp/239.253.43.30:5146$组播源
汕头综合,http://120.77.205.62:8087/rtp/239.77.1.130:5146$组播源
汕头综合,http://120.77.205.62:8087/rtp/239.253.43.45:5146$组播源
汕头综合,http://14.112.86.101:4022/udp/239.77.1.130:5146$订阅源|1920x1080
汕头综合,http://113.90.246.252:4000/udp/239.77.1.130:5146$订阅源|1920x1080
汕头综合,http://113.111.16.104:8888/udp/239.77.1.130:5146$订阅源|1920x1080
汕头经济,http://120.77.205.62:8087/rtp/239.253.43.43:5146$组播源
汕头经济,http://120.77.205.62:8087/rtp/239.253.43.46:5146$组播源
汕头经济,http://120.77.205.62:8087/rtp/239.77.1.131:5146$组播源
汕头经济,http://14.112.86.101:4022/udp/239.77.1.131:5146$订阅源|1920x1080
汕头经济,http://113.111.16.104:8888/udp/239.77.1.131:5146$订阅源|1920x1080
汕头经济,http://113.90.246.252:4000/udp/239.77.1.131:5146$订阅源|1920x1080
汕头文旅,http://120.77.205.62:8087/rtp/239.77.1.132:5146$组播源
汕头文旅,http://120.77.205.62:8087/rtp/239.253.43.44:5146$组播源
汕头文旅,http://120.77.205.62:8087/rtp/239.253.43.47:5146$组播源
汕头文旅,http://14.112.86.101:4022/udp/239.77.1.132:5146$订阅源|1920x1080
汕头文旅,http://113.111.16.104:8888/udp/239.77.1.132:5146$订阅源|1920x1080
汕头文旅,http://113.90.246.252:4000/udp/239.77.1.132:5146$订阅源|1920x1080
